"","Bird","SubTraj","vessel_class","DateTime","Latitude","Longitude","fishing"
"1","63F red",270,"trawlers",2017-12-23 13:10:10,-54.094965,-62.95117333,1
"4","63F red",270,"trawlers",2017-12-23 13:13:10,-54.0975737523591,-62.9496872732887,1
"6","63F red",270,"trawlers",2017-12-23 13:16:10,-54.0995274579473,-62.945663297306,1
"7","63F red",270,"trawlers",2017-12-23 13:19:10,-54.1004630993081,-62.9404706942087,1
"8","63F red",270,"trawlers",2017-12-23 13:22:10,-54.1010265875666,-62.9354725599435,1
"8.1","63F red",270,"trawlers",2017-12-23 13:25:10,-54.1015037700664,-62.9308846637788,1
"9","63F red",270,"trawlers",2017-12-23 13:28:10,-54.1019929881737,-62.9259614602081,1
"10","63F red",270,"trawlers",2017-12-23 13:31:10,-54.1023486862546,-62.9209163647528,1
"10.1","63F red",270,"trawlers",2017-12-23 13:34:10,-54.1025308001343,-62.9160193664173,1
"10.2","63F red",270,"trawlers",2017-12-23 13:37:10,-54.1027127147511,-62.911122325196,1
"12","63F red",270,"trawlers",2017-12-23 13:40:10,-54.1029066709411,-62.9060980285391,1
"15","63F red",270,"trawlers",2017-12-23 13:43:10,-54.102990662204,-62.9010095760816,1
"17","63F red",270,"trawlers",2017-12-23 13:46:10,-54.1031771142287,-62.8958803341052,1
"20","63F red",270,"trawlers",2017-12-23 13:49:10,-54.1033860263116,-62.8906362230321,1
"23","63F red",270,"trawlers",2017-12-23 13:52:10,-54.1035641634795,-62.8854625200085,1
"25","63F red",270,"trawlers",2017-12-23 13:55:10,-54.103898867385,-62.8805203631376,1
"25.1","63F red",270,"trawlers",2017-12-23 13:58:10,-54.1042721059877,-62.8755825119759,1
"25.2","63F red",270,"trawlers",2017-12-23 14:01:10,-54.1046451419735,-62.8706445721569,1
"29","75F red",352,"trawlers",2017-12-26 03:51:04,-53.83205333,-64.22709333,1
"31","75F red",352,"trawlers",2017-12-26 03:54:04,-53.8267797880643,-64.2346799407828,1
"33","75F red",352,"trawlers",2017-12-26 03:57:04,-53.8263499959629,-64.2287351440473,1
"34","75F red",352,"trawlers",2017-12-26 04:00:04,-53.8268555796688,-64.2223614038697,1
"34.1","75F red",352,"trawlers",2017-12-26 04:03:04,-53.8274077356125,-64.2159408139424,1
"36","75F red",352,"trawlers",2017-12-26 04:06:04,-53.8284278534646,-64.2094478292,1
"38","75F red",352,"trawlers",2017-12-26 04:09:04,-53.8301750123047,-64.2044894143626,1
"40","75F red",352,"trawlers",2017-12-26 04:12:04,-53.8321005890564,-64.1999297988423,1
"43","75F red",352,"trawlers",2017-12-26 04:15:04,-53.8338170867139,-64.1957984517368,1
"44","75F red",352,"trawlers",2017-12-26 04:18:04,-53.8356804963235,-64.1913642625859,1
"45","75F red",352,"trawlers",2017-12-26 04:21:04,-53.8375483132444,-64.1869138675307,1
"47","75F red",352,"trawlers",2017-12-26 04:24:04,-53.8392753007025,-64.1825462397755,1
"50","75F red",352,"trawlers",2017-12-26 04:27:04,-53.8411080454066,-64.1782384666272,1
"51","75F red",352,"trawlers",2017-12-26 04:30:04,-53.8430249397474,-64.1742690880856,1
"53","75F red",352,"trawlers",2017-12-26 04:33:04,-53.845126625113,-64.1699094052928,1
"56","75F red",352,"trawlers",2017-12-26 04:36:04,-53.8471652004267,-64.1657795005476,1
"58","75F red",352,"trawlers",2017-12-26 04:39:04,-53.8491764020552,-64.161544158286,1
"59","75F red",352,"trawlers",2017-12-26 04:42:04,-53.8515234620836,-64.1571709897758,1
"60","75F red",352,"trawlers",2017-12-26 04:45:04,-53.8538799161409,-64.1528143015561,1
"64","75F red",352,"trawlers",2017-12-26 04:48:04,-53.856493744416,-64.1497548568393,1
"67","75F red",352,"trawlers",2017-12-26 04:51:04,-53.8596183608022,-64.1474032811475,1
"70","75F red",352,"trawlers",2017-12-26 04:54:04,-53.862949865731,-64.1458736242573,1
"70.1","75F red",352,"trawlers",2017-12-26 04:57:04,-53.8648936547543,-64.1437866169505,1
"70.2","75F red",352,"trawlers",2017-12-26 05:00:04,-53.8668374068515,-64.1416994161499,1
"70.3","75F red",352,"trawlers",2017-12-26 05:03:04,-53.8687811220166,-64.1396120218275,1
"70.4","75F red",352,"trawlers",2017-12-26 05:06:04,-53.8707248002438,-64.1375244339552,1
"70.5","75F red",352,"trawlers",2017-12-26 05:09:04,-53.8726684415272,-64.1354366525049,1
"70.6","75F red",352,"trawlers",2017-12-26 05:12:04,-53.8746120458609,-64.1333486774485,1
"70.7","75F red",352,"trawlers",2017-12-26 05:15:04,-53.8765556132389,-64.1312605087578,1
"70.8","75F red",352,"trawlers",2017-12-26 05:18:04,-53.8784991436555,-64.1291721464049,1
"70.9","75F red",352,"trawlers",2017-12-26 05:21:04,-53.8804426371045,-64.1270835903615,1
"70.10","75F red",352,"trawlers",2017-12-26 05:24:04,-53.8823860935802,-64.1249948405995,1
"70.11","75F red",352,"trawlers",2017-12-26 05:27:04,-53.8843295130767,-64.1229058970908,1
"70.12","75F red",352,"trawlers",2017-12-26 05:30:04,-53.886272895588,-64.1208167598073,1
