date,time (GMT),time (local),COLONY,NEST,Nest position,BIRD,GPS,GPS schedule,GLS Back,Device ring number,TDR,GLS leg,accelerometer OXNAV,Partner on egg/chick,BACK AT COLONY,RETRIEVAL DATE,Retrieval time (GMT),Retrieval time (local),accel off time GMT,accel off time local,GPS tracks,Hatch date,Egg or chick,notes,,,
11/12/2017,approx 21:00,18:00,C,199,"top of colony near edge, on right looking downhill, down and nearer edge from 200",52B brown,PM12,5 sec,BG849,66G BLUE,A14445,BC710,,07F red,18/12/17 am,19/12/2017,18:57 to 19:00,15:57 to 16:00,,,"partial track, GPS flooded",19/12/2017,egg,,,,
11/12/2017,approx 21:20,18:20,C,170,"half way down, quite near edge on left side looking downhill, two nests above 158 plus slightly left when looking up",86G blue,M3,5 sec,BD256,61G,A14444,BD272,,"not observed, should be 67E white",not yet seen,22/12/2017,17:50,14:50,n/a,n/a,"partial track, GPS flooded, could get more data off",21/12/2017,egg then chick,"TDR broken, GLS had pins broken but did work",,,
12/12/2017,20:05 to 20:18,17:05 to 17:18,C,147B,"on left side near bottom when looking uphill, right of 147",20L yellow,MB10,5 sec,BB230,01 WHITE,A14448,BD273,,53V red,17/12/2017,17/12/2017,17:38 to 17:44,14:38 to 14:44,,,not full track,egg,egg,,,,
12/12/2017,20:43 to 20:49,17:43 to 17:49,C,147,"on left side near bottom when looking uphill, left of 147B",77T blue,BOATY,5 sec,BF841,02 LIGHT BLUE,A14450,BD253,,59F red,16/12/2017,16/12/2017,18:15 to 18:19,15:15 to 15:19,,,not full track,21/12/2017,egg,,,,
12/12/2017,22:51 to 22:59,19:51 to 19:59,C,190,"top of colony quite near edge, right side looking down hill, just right of big slab",38T blue,FK1,5 sec,BD270,03 YELLOW,A14446,BD271,,69T blue,17/12/2017,17/12/2017,12:40 to 12:45,09:40 to 09:45,,,not full track,failed to hatch,egg,,,,
13/12/2017,19:39 to 19:46,16:39 to 16:46,C,183,"on right when looking downhill, on top of sloping slab",22V red,FK02,5 sec,BD260,04 DARK BLUE,A14447,BC706,,11P blue,18/12/17 am,19/12/2017,19:04:45 to 19:08:40,16:04:45 to 16:08:40,,,not full track,egg,egg,,,,
13/12/2017,20:18 to 20:27,17:18 to 17:27,C,158,"Bottom left when looking downhill.  Above 114, good view of tag from bottom",26F red,FK04,5 sec,Z649,05 GREEN,A14452,BF840,,60T blue,18/12/17 am,19/12/2017,19:17:15 to 19:22:15,16:17:15 to 16:22:15,,,not full track,18/12/2017,egg then chick,,,,
14/12/2017,12:51 to 12:57,09:51 to 09:57,C,107,on edge at bottom on left side looking down hill,57L yellow,FK03,5 sec,BC709,06 RED,A14451,BD255,,32B Brown,17/12/2017,21/12/2017,,13:56:50 to 14:00:00,,,full GPS track,16/12/2017,egg then chick,bird number is wrong in EXCEL file for ARC but OK in CSV file,,,
20/12/2017,16:39 to 16:47,13:39 to 13:47,C,111,,78P blue,FK01,5 sec,BC710,04 DARK BLUE,A14447,BC706,,87K white,,21/12/2017,,13:43 to 13:46,,,full GPS track,19/12/2017,chick,,,,
20/12/2017,20:10 to 20:17,17:10 to 17:17,C,117,,49T blue,BOATY,5 sec,BD273,05 GREEN,A14452,BF840,,83K white,,22/12/2017,,17:35,,,full GPS track,16/12/2017,chick,,,,
21/12/2017,,12:58 to 13:03,C,195,,40T blue,FK04,5 sec,BD271,03 YELLOW,A14450,BD253,,85C red,,23/12/2017,,15:09,,,full GPS track,12/12/2017,chick,,,,
21/12/2017,,13:27 to 13:33,C,197,,21G blue,FK02,5 sec,BF721,01 WHITE,A14445,BD260,,77H white,,23/12/2017,,15:24,,,full GPS track,19/12/2017,chick,,,,
21/12/2017,,14:36 to 14:42,C,119,,63F red,FK03,5 sec,BC710,04 BLUE,A14447,BD263,,97T blue,,24/12/2017,,15:45,,,full GPS track,21/12/2017,hatched deployment day,,,,
21/12/2017,,16:10 to 16:16,C,225,,16P blue,FRS11,5 sec,BF841,66G BLUE,A14446,BD254,,65F red,,24/12/2017,,14:25,,,full GPS track,18/12/2017,chick,,,,
