Bird,xmin,xmax,ymin,ymax
00G blue,-63.75,-63.55,-54.75,-54.55
00L yellow,-64.5,-64.1,-54.3,-54
01L yellow,-63.8,-63.7,-53.5,-53.4
07E white,-60.9,-60.75,-51.45,-51.35
07P blue,-65.2,-65,-54.9,-54.6
09G blue,-61,-60.9,-51.45,-51.4
14T blue,-64.9,-64.4,-54.4,-54.1
16P blue,-63.4,-63.3,-53.6,-53.5
17B brown,-64.25,-63.95,-54.2,-53.9
20L yellow,-64.75,-64.5,-54.2,-54.05
20V red,-67.2,-66.9,-53.1,-52.9
21G blue,-64.55,-64.2,-53.85,-53.55
22V red,-65.3,-65,-55,-54.8
26F red,-64.1,-63.9,-53.7,-53.5
26G blue,-66,-65.8,-54.05,-53.8
26T blue,-64.5,-64.3,-54.1,-54
32L yellow,-63.4,-63.3,-53.48,-53.42
33T blue,-64.3,-64.05,-54.15,-54
38F red,-63.4,-63.2,-54.7,-54.5
38T blue,-64.9,-64.75,-54.1,-53.95
39T blue,-63.85,-63.65,-54.75,-54.65
40T blue,-60.88,-60.8,-51.43,-51.39
41A red,-63.5,-63.3,-53.5,-53.35
47A red,-63.55,-63.45,-53.55,-53.45
47F red,-64.65,-64.5,-53.8,-53.7
49T blue,-63.75,-63.55,-54.45,-54.3
52B brown,-63.7,-63.55,-53.8,-53.7
53T blue,-68.8,-68.6,-50.65,-50.5
55T blue,-65.1,-64.95,-54.8,-54.7
57E white,-63.15,-63,-53.45,-53.3
57L yellow,-63.95,-63.7,-54.15,-54
59T blue,-62.6,-62.4,-50.55,-50.4
60G blue,-63,-62.8,-52.7,-52.55
60L yellow,-64.6,-64.4,-52.2,-52
61T blue,-63.4,-63.2,-54.7,-54.5
63F red,-63.5,-63.3,-54.75,-54.5
64B brown,-63.2,-62.9,-53.1,-52.8
64F red,-67.3,-67,-52.7,-52.5
65T blue,-64.5,-64.3,-54.3,-54.1
66F red,-63.7,-63.5,-53.6,-53.4
69G blue,-64.55,-64.35,-54,-53.9
72E white,-63.1,-62.9,-53.4,-53.2
74F red,-65,-64.8,-54.55,-54.35
75F red,-64.3,-64.1,-53.9,-53.8
75L yellow,-63.7,-63.5,-53,-52.7
77C red,-65.1,-64.95,-54.8,-54.7
77T blue,-63.8,-63.6,-54.8,-54.6
78B brown,-62.2,-62,-50.6,-50.5
78F red,-68.75,-68.6,-50.7,-50.6
78P blue,-64.7,-64.6,-53.45,-53.35
81E white,-63.45,-63.3,-53.6,-53.45
85K white,-63.8,-63.6,-52.6,-52.4
86G blue,-66.9,-66.7,-49,-48.8
87K white,-63.6,-63.4,-54.6,-54.45
92F red,-65.1,-64.9,-54.8,-54.6
unringed,-61.41,-61.36,-51.92,-51.87
